rowID,HateSpeechExistence
1059,1
1060,0
1061,1
1062,0
1063,1
1064,0
1065,1
1066,1
1067,0
1068,1
1069,0
1070,1
1071,1
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,0
1079,1
1080,1
1081,0
1082,0
1083,1
1084,0
1085,0
1086,1
1087,0
1088,0
1089,1
1090,0
1091,0
1092,1
1093,0
1094,0
1095,1
1096,0
1097,1
1098,1
1099,1
1100,0
1101,1
1102,0
1103,0
1104,1
1105,1
1106,1
1107,0
1108,1
1109,1
1110,0
1111,1
1112,0
1113,1
1114,1
1115,1
1116,0
1117,0
1118,0
1119,0
1120,1
1121,0
1122,0
1123,0
1124,1
1125,1
1126,0
1127,1
1128,1
1129,1
1130,0
1131,1
1132,0
1133,0
1134,0
1135,1
1136,0
1137,1
1138,1
1139,0
1140,1
1141,1
1142,1
1143,0
1144,1
1145,0
1146,1
1147,1
1148,0
1149,1
1150,1
1151,1
1152,1
1153,1
1154,0
1155,1
1156,1
1157,0
1158,1
1159,0
1160,0
1161,1
1162,1
1163,1
1164,0
1165,0
1166,1
1167,1
1168,1
1169,0
1170,1
